* Freq(Hz)	SPL(dB)
20.000000	-1.342
20.299999	-1.342
20.600000	-1.342
20.900000	-1.342
21.200001	-1.342
21.400000	-1.342
21.799999	-1.342
22.000000	-1.343
22.400000	-1.343
22.700001	-1.343
23.000000	-1.343
23.299999	-1.343
23.600000	-1.343
24.000000	-1.343
24.299999	-1.344
24.700001	-1.344
25.000000	-1.344
25.400000	-1.345
25.799999	-1.345
26.200001	-1.345
26.500000	-1.346
26.900000	-1.346
27.200001	-1.347
27.600000	-1.347
28.000000	-1.347
28.500000	-1.348
29.000000	-1.349
29.500000	-1.350
30.000000	-1.351
30.400000	-1.352
30.700001	-1.352
31.100000	-1.353
31.500000	-1.354
32.000000	-1.356
32.500000	-1.357
33.000000	-1.359
33.500000	-1.360
34.000000	-1.362
34.500000	-1.363
35.000000	-1.365
35.500000	-1.367
36.000000	-1.370
36.500000	-1.372
37.000000	-1.374
37.500000	-1.377
38.200001	-1.380
38.700001	-1.383
39.500000	-1.388
40.000000	-1.391
40.599998	-1.395
41.200001	-1.399
41.799999	-1.404
42.500000	-1.409
43.099998	-1.414
43.700001	-1.419
44.400002	-1.426
45.000000	-1.431
45.500000	-1.436
46.200001	-1.444
46.799999	-1.450
47.500000	-1.458
48.200001	-1.466
48.700001	-1.473
49.400002	-1.481
50.000000	-1.489
50.799999	-1.501
51.500000	-1.511
52.200001	-1.522
53.000000	-1.535
53.799999	-1.548
54.500000	-1.560
55.200001	-1.573
56.000000	-1.588
57.000000	-1.609
58.000000	-1.634
59.000000	-1.661
60.000000	-1.686
60.799999	-1.703
61.500000	-1.716
62.200001	-1.730
63.000000	-1.747
64.000000	-1.773
65.000000	-1.801
66.000000	-1.830
67.000000	-1.859
68.000000	-1.890
69.000000	-1.922
70.000000	-1.955
71.000000	-1.988
72.000000	-2.023
73.000000	-2.058
74.000000	-2.095
75.000000	-2.132
76.199997	-2.179
77.500000	-2.230
78.800003	-2.282
80.000000	-2.331
81.199997	-2.382
82.500000	-2.438
83.800003	-2.494
85.000000	-2.547
86.199997	-2.598
87.500000	-2.651
88.500000	-2.693
90.000000	-2.760
91.199997	-2.815
92.500000	-2.872
93.800003	-2.917
95.000000	-2.949
96.199997	-2.978
97.500000	-3.015
98.800003	-3.060
100.000000	-3.109
101.500000	-3.178
103.000000	-3.248
104.400002	-3.313
106.000000	-3.387
107.500000	-3.455
109.000000	-3.523
110.599998	-3.594
112.000000	-3.655
113.800003	-3.733
115.000000	-3.785
117.199997	-3.887
118.000000	-3.928
120.599998	-4.073
122.000000	-4.148
124.099998	-4.245
125.000000	-4.278
126.500000	-4.322
128.000000	-4.356
131.500000	-4.419
132.000000	-4.426
134.000000	-4.450
136.000000	-4.470
138.000000	-4.493
140.000000	-4.525
143.000000	-4.590
145.000000	-4.638
147.500000	-4.698
150.000000	-4.754
152.500000	-4.808
155.000000	-4.858
157.500000	-4.906
160.000000	-4.951
162.500000	-4.993
165.000000	-5.026
167.500000	-5.044
170.000000	-5.048
172.500000	-5.049
175.000000	-5.054
177.500000	-5.071
180.000000	-5.094
182.500000	-5.120
185.000000	-5.145
187.500000	-5.164
190.000000	-5.173
192.500000	-5.170
195.000000	-5.162
197.500000	-5.154
200.000000	-5.151
203.000000	-5.158
206.000000	-5.174
209.000000	-5.191
212.000000	-5.205
214.000000	-5.210
218.000000	-5.203
220.000000	-5.194
224.000000	-5.171
227.000000	-5.160
230.000000	-5.159
233.000000	-5.165
236.000000	-5.172
240.000000	-5.170
243.000000	-5.160
