* Freq(Hz)	SPL(dB)
20.000000	0.776
20.299999	0.775
20.600000	0.775
20.900000	0.775
21.200001	0.775
21.400000	0.775
21.799999	0.775
22.000000	0.775
22.400000	0.775
22.700001	0.774
23.000000	0.774
23.299999	0.774
23.600000	0.774
24.000000	0.773
24.299999	0.773
24.700001	0.773
25.000000	0.772
25.400000	0.772
25.799999	0.771
26.200001	0.771
26.500000	0.770
26.900000	0.770
27.200001	0.769
27.600000	0.768
28.000000	0.768
28.500000	0.766
29.000000	0.765
29.500000	0.764
30.000000	0.762
30.400000	0.761
30.700001	0.760
31.100000	0.759
31.500000	0.757
32.000000	0.756
32.500000	0.754
33.000000	0.751
33.500000	0.749
34.000000	0.746
34.500000	0.744
35.000000	0.741
35.500000	0.739
36.000000	0.735
36.500000	0.732
37.000000	0.729
37.500000	0.725
38.200001	0.720
38.700001	0.716
39.500000	0.709
40.000000	0.705
40.599998	0.699
41.200001	0.694
41.799999	0.687
42.500000	0.680
43.099998	0.673
43.700001	0.665
44.400002	0.657
45.000000	0.648
45.500000	0.642
46.200001	0.631
46.799999	0.622
47.500000	0.611
48.200001	0.600
48.700001	0.591
49.400002	0.579
50.000000	0.568
50.799999	0.552
51.500000	0.538
52.200001	0.523
53.000000	0.506
53.799999	0.487
54.500000	0.471
55.200001	0.453
56.000000	0.432
57.000000	0.404
58.000000	0.372
59.000000	0.337
60.000000	0.304
60.799999	0.280
61.500000	0.260
62.200001	0.240
63.000000	0.215
64.000000	0.180
65.000000	0.142
66.000000	0.103
67.000000	0.063
68.000000	0.022
69.000000	-0.021
70.000000	-0.065
71.000000	-0.111
72.000000	-0.158
73.000000	-0.206
74.000000	-0.255
75.000000	-0.305
76.199997	-0.367
77.500000	-0.435
78.800003	-0.505
80.000000	-0.571
81.199997	-0.639
82.500000	-0.714
83.800003	-0.789
85.000000	-0.860
86.199997	-0.929
87.500000	-1.001
88.500000	-1.059
90.000000	-1.149
91.199997	-1.222
92.500000	-1.300
93.800003	-1.365
95.000000	-1.416
96.199997	-1.465
97.500000	-1.522
98.800003	-1.587
100.000000	-1.656
101.500000	-1.748
103.000000	-1.842
104.400002	-1.929
106.000000	-2.028
107.500000	-2.120
109.000000	-2.210
110.599998	-2.306
112.000000	-2.388
113.800003	-2.493
115.000000	-2.563
