* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	80.451	1.4310
20.299999	80.451	1.4526
20.600000	80.451	1.4740
20.900000	80.451	1.4950
21.200001	80.451	1.5168
21.400000	80.451	1.5310
21.799999	80.451	1.5602
22.000000	80.451	1.5748
22.400000	80.451	1.6034
22.700001	80.451	1.6255
23.000000	80.451	1.6465
23.299999	80.451	1.6683
23.600000	80.451	1.6901
24.000000	80.451	1.7185
24.299999	80.451	1.7406
24.700001	80.451	1.7694
25.000000	80.451	1.7906
25.400000	80.451	1.8198
25.799999	80.451	1.8491
26.200001	80.451	1.8778
26.500000	80.451	1.8996
26.900000	80.451	1.9287
27.200001	80.451	1.9501
27.600000	80.451	1.9787
28.000000	80.451	2.0080
28.500000	80.451	2.0442
29.000000	80.451	2.0806
29.500000	80.451	2.1164
30.000000	80.451	2.1525
30.400000	80.451	2.1818
30.700001	80.451	2.2035
31.100000	80.451	2.2328
31.500000	80.451	2.2620
32.000000	80.451	2.2985
32.500000	80.451	2.3351
33.000000	80.451	2.3710
33.500000	80.451	2.4071
34.000000	80.451	2.4438
34.500000	80.451	2.4802
35.000000	80.451	2.5167
35.500000	80.451	2.5540
36.000000	80.451	2.5899
36.500000	80.451	2.6266
37.000000	80.451	2.6634
37.500000	80.451	2.7001
38.200001	80.451	2.7514
38.700001	80.451	2.7881
39.500000	80.451	2.8464
40.000000	80.451	2.8840
40.599998	80.451	2.9283
41.200001	80.451	2.9720
41.799999	80.451	3.0161
42.500000	80.451	3.0680
43.099998	80.451	3.1127
43.700001	80.451	3.1568
44.400002	80.451	3.2088
45.000000	80.451	3.2535
45.500000	80.451	3.2902
46.200001	80.451	3.3419
46.799999	80.451	3.3865
47.500000	80.451	3.4389
48.200001	80.451	3.4905
48.700001	80.451	3.5282
49.400002	80.451	3.5806
50.000000	80.451	3.6253
50.799999	80.451	3.6847
51.500000	80.451	3.7363
52.200001	80.451	3.7882
53.000000	80.451	3.8477
53.799999	80.451	3.9064
54.500000	80.451	3.9570
55.200001	80.451	4.0065
56.000000	80.451	4.0604
57.000000	80.451	4.1276
58.000000	80.446	4.2031
59.000000	80.438	4.3003
60.000000	80.437	4.4050
60.799999	80.438	4.4885
61.500000	80.443	4.5600
62.200001	80.448	4.6211
63.000000	80.451	4.6811
64.000000	80.451	4.7519
65.000000	80.451	4.8237
66.000000	80.451	4.8991
67.000000	80.451	4.9766
68.000000	80.451	5.0559
69.000000	80.451	5.1363
70.000000	80.451	5.2175
71.000000	80.451	5.2995
72.000000	80.451	5.3822
73.000000	80.451	5.4663
74.000000	80.451	5.5514
75.000000	80.451	5.6370
76.199997	80.451	5.7410
77.500000	80.451	5.8560
78.800003	80.451	5.9731
80.000000	80.451	6.0839
81.199997	80.451	6.1974
82.500000	80.451	6.3246
83.800003	80.451	6.4601
85.000000	80.451	6.5897
86.199997	80.453	6.7228
87.500000	80.461	6.8602
88.500000	80.466	6.9619
90.000000	80.467	7.1325
91.199997	80.468	7.2867
92.500000	80.467	7.4648
93.800003	80.484	7.6402
95.000000	80.513	7.7678
96.199997	80.542	7.8546
97.500000	80.569	7.9036
98.800003	80.586	7.9149
100.000000	80.591	7.9146
101.500000	80.591	7.9267
103.000000	80.591	7.9602
104.400002	80.591	8.0080
106.000000	80.591	8.0751
107.500000	80.591	8.1449
109.000000	80.591	8.2181
110.599998	80.591	8.2968
112.000000	80.591	8.3631
113.800003	80.591	8.4381
115.000000	80.590	8.4824
117.199997	80.582	8.5652
118.000000	80.573	8.6076
120.599998	80.526	8.8529
122.000000	80.502	9.0533
124.099998	80.480	9.4257
125.000000	80.480	9.6020
126.500000	80.494	9.8927
128.000000	80.514	10.1622
131.500000	80.565	10.6766
132.000000	80.574	10.7358
134.000000	80.615	10.9284
136.000000	80.657	11.0530
138.000000	80.694	11.1226
140.000000	80.719	11.1525
143.000000	80.730	11.1852
145.000000	80.731	11.2321
147.500000	80.731	11.3277
150.000000	80.731	11.4561
152.500000	80.731	11.6085
155.000000	80.731	11.7802
157.500000	80.731	11.9718
160.000000	80.731	12.1917
162.500000	80.731	12.4409
165.000000	80.735	12.7141
167.500000	80.756	12.9787
