* Freq(Hz)	SPL(dB)
20.000000	1.154
20.299999	1.161
20.600000	1.170
20.900000	1.180
21.200001	1.191
21.400000	1.199
21.799999	1.214
22.000000	1.222
22.400000	1.239
22.700001	1.251
23.000000	1.264
23.299999	1.276
23.600000	1.289
24.000000	1.306
24.299999	1.318
24.700001	1.335
25.000000	1.347
25.400000	1.363
25.799999	1.379
26.200001	1.395
26.500000	1.406
26.900000	1.421
27.200001	1.432
27.600000	1.447
28.000000	1.461
28.500000	1.478
29.000000	1.494
29.500000	1.510
30.000000	1.526
30.400000	1.538
30.700001	1.547
31.100000	1.559
31.500000	1.570
32.000000	1.584
32.500000	1.597
33.000000	1.610
33.500000	1.623
34.000000	1.635
34.500000	1.647
35.000000	1.658
35.500000	1.669
36.000000	1.680
36.500000	1.691
37.000000	1.701
37.500000	1.710
38.200001	1.724
38.700001	1.733
39.500000	1.747
40.000000	1.755
40.599998	1.765
41.200001	1.774
41.799999	1.783
42.500000	1.793
43.099998	1.801
43.700001	1.809
44.400002	1.818
45.000000	1.825
45.500000	1.831
46.200001	1.838
46.799999	1.845
47.500000	1.852
48.200001	1.859
48.700001	1.863
49.400002	1.869
50.000000	1.875
50.799999	1.881
51.500000	1.886
52.200001	1.891
53.000000	1.897
53.799999	1.902
54.500000	1.906
55.200001	1.910
56.000000	1.915
57.000000	1.920
58.000000	1.924
59.000000	1.928
60.000000	1.932
60.799999	1.935
61.500000	1.937
62.200001	1.939
63.000000	1.941
64.000000	1.944
65.000000	1.946
66.000000	1.947
67.000000	1.949
68.000000	1.950
69.000000	1.951
70.000000	1.951
71.000000	1.952
72.000000	1.952
73.000000	1.952
74.000000	1.951
75.000000	1.951
76.199997	1.950
77.500000	1.948
78.800003	1.946
80.000000	1.944
81.199997	1.942
82.500000	1.939
83.800003	1.936
85.000000	1.933
86.199997	1.930
87.500000	1.926
88.500000	1.923
90.000000	1.918
91.199997	1.913
92.500000	1.908
93.800003	1.903
95.000000	1.898
96.199997	1.893
97.500000	1.887
98.800003	1.881
100.000000	1.875
101.500000	1.868
103.000000	1.860
104.400002	1.853
106.000000	1.844
107.500000	1.835
109.000000	1.826
110.599998	1.816
112.000000	1.807
113.800003	1.795
115.000000	1.786
117.199997	1.771
118.000000	1.765
120.599998	1.746
122.000000	1.735
124.099998	1.719
125.000000	1.712
126.500000	1.700
128.000000	1.688
131.500000	1.659
132.000000	1.654
134.000000	1.637
136.000000	1.620
138.000000	1.603
140.000000	1.586
143.000000	1.560
145.000000	1.543
147.500000	1.522
150.000000	1.502
152.500000	1.482
155.000000	1.462
157.500000	1.444
160.000000	1.426
162.500000	1.409
165.000000	1.394
167.500000	1.380
170.000000	1.367
172.500000	1.355
175.000000	1.344
177.500000	1.335
180.000000	1.327
182.500000	1.321
185.000000	1.316
187.500000	1.312
190.000000	1.309
192.500000	1.307
195.000000	1.306
197.500000	1.306
200.000000	1.307
203.000000	1.309
206.000000	1.312
209.000000	1.316
212.000000	1.320
214.000000	1.323
218.000000	1.330
220.000000	1.334
224.000000	1.341
227.000000	1.347
230.000000	1.353
233.000000	1.359
236.000000	1.365
240.000000	1.373
243.000000	1.379
247.000000	1.387
250.000000	1.392
254.000000	1.400
258.000000	1.407
262.000000	1.414
265.000000	1.419
269.000000	1.425
272.000000	1.429
276.000000	1.435
280.000000	1.441
285.000000	1.447
290.000000	1.453
295.000000	1.459
300.000000	1.464
304.000000	1.467
307.000000	1.470
311.000000	1.472
315.000000	1.475
320.000000	1.477
325.000000	1.478
330.000000	1.479
335.000000	1.478
340.000000	1.477
345.000000	1.475
350.000000	1.472
355.000000	1.467
360.000000	1.462
365.000000	1.456
370.000000	1.449
375.000000	1.441
382.000000	1.428
387.000000	1.418
395.000000	1.401
400.000000	1.389
406.000000	1.373
412.000000	1.357
418.000000	1.341
425.000000	1.320
431.000000	1.302
437.000000	1.284
444.000000	1.262
450.000000	1.242
455.000000	1.226
462.000000	1.203
468.000000	1.183
475.000000	1.159
482.000000	1.135
487.000000	1.118
494.000000	1.094
500.000000	1.073
508.000000	1.045
515.000000	1.020
522.000000	0.996
530.000000	0.969
538.000000	0.942
545.000000	0.920
552.000000	0.898
560.000000	0.876
570.000000	0.851
580.000000	0.832
590.000000	0.818
600.000000	0.811
608.000000	0.810
615.000000	0.813
622.000000	0.819
630.000000	0.829
640.000000	0.847
650.000000	0.868
660.000000	0.893
670.000000	0.919
680.000000	0.945
690.000000	0.971
700.000000	0.995
710.000000	1.017
720.000000	1.036
730.000000	1.052
740.000000	1.064
750.000000	1.072
762.000000	1.077
775.000000	1.077
788.000000	1.070
800.000000	1.058
812.000000	1.041
825.000000	1.018
838.000000	0.989
850.000000	0.959
862.000000	0.925
875.000000	0.885
885.000000	0.851
900.000000	0.798
912.000000	0.752
925.000000	0.701
938.000000	0.649
950.000000	0.600
962.000000	0.550
975.000000	0.497
988.000000	0.444
1000.000000	0.397
1015.000000	0.340
1030.000000	0.287
1044.000000	0.242
1060.000000	0.196
1075.000000	0.160
1090.000000	0.129
1106.000000	0.104
1120.000000	0.088
1138.000000	0.074
1150.000000	0.069
1172.000000	0.068
1180.000000	0.070
1206.000000	0.081
1220.000000	0.090
1241.000000	0.106
1250.000000	0.113
1265.000000	0.126
1280.000000	0.139
1315.000000	0.169
1320.000000	0.173
1340.000000	0.188
1360.000000	0.203
1380.000000	0.217
1400.000000	0.230
1430.000000	0.247
1450.000000	0.258
1475.000000	0.270
1500.000000	0.282
1525.000000	0.293
1550.000000	0.303
1575.000000	0.313
1600.000000	0.322
1625.000000	0.332
1650.000000	0.341
1675.000000	0.351
1700.000000	0.360
1725.000000	0.370
1750.000000	0.380
1775.000000	0.390
1800.000000	0.400
1825.000000	0.411
1850.000000	0.422
1875.000000	0.433
