* Freq(Hz)	SPL(dB)
20.000000	-1.835
20.299999	-1.813
20.600000	-1.790
20.900000	-1.767
21.200001	-1.744
21.400000	-1.729
21.799999	-1.700
22.000000	-1.686
22.400000	-1.661
22.700001	-1.643
23.000000	-1.627
23.299999	-1.611
23.600000	-1.596
24.000000	-1.577
24.299999	-1.564
24.700001	-1.548
25.000000	-1.536
25.400000	-1.521
25.799999	-1.507
26.200001	-1.494
26.500000	-1.484
26.900000	-1.472
27.200001	-1.464
27.600000	-1.453
28.000000	-1.443
28.500000	-1.431
29.000000	-1.420
29.500000	-1.410
30.000000	-1.401
30.400000	-1.394
30.700001	-1.389
31.100000	-1.383
31.500000	-1.378
32.000000	-1.372
32.500000	-1.367
33.000000	-1.361
33.500000	-1.356
34.000000	-1.352
34.500000	-1.348
35.000000	-1.344
35.500000	-1.340
36.000000	-1.337
36.500000	-1.334
37.000000	-1.331
37.500000	-1.328
38.200001	-1.324
38.700001	-1.321
39.500000	-1.316
40.000000	-1.313
40.599998	-1.309
41.200001	-1.305
41.799999	-1.301
42.500000	-1.295
43.099998	-1.291
43.700001	-1.285
44.400002	-1.280
45.000000	-1.274
45.500000	-1.270
46.200001	-1.264
46.799999	-1.258
47.500000	-1.251
48.200001	-1.244
48.700001	-1.239
49.400002	-1.232
50.000000	-1.226
50.799999	-1.218
51.500000	-1.210
52.200001	-1.203
53.000000	-1.194
53.799999	-1.186
54.500000	-1.179
55.200001	-1.171
56.000000	-1.163
57.000000	-1.152
58.000000	-1.142
59.000000	-1.132
60.000000	-1.122
60.799999	-1.114
61.500000	-1.108
62.200001	-1.101
63.000000	-1.094
64.000000	-1.085
65.000000	-1.076
66.000000	-1.066
67.000000	-1.057
68.000000	-1.049
69.000000	-1.040
70.000000	-1.032
71.000000	-1.024
72.000000	-1.016
73.000000	-1.009
74.000000	-1.001
75.000000	-0.993
76.199997	-0.984
77.500000	-0.974
78.800003	-0.964
80.000000	-0.955
81.199997	-0.946
82.500000	-0.936
83.800003	-0.925
85.000000	-0.916
86.199997	-0.907
87.500000	-0.897
88.500000	-0.889
90.000000	-0.877
91.199997	-0.868
92.500000	-0.858
93.800003	-0.848
95.000000	-0.838
96.199997	-0.829
97.500000	-0.819
98.800003	-0.810
100.000000	-0.801
101.500000	-0.790
103.000000	-0.780
104.400002	-0.770
106.000000	-0.759
107.500000	-0.748
109.000000	-0.738
110.599998	-0.727
112.000000	-0.717
113.800003	-0.704
115.000000	-0.696
117.199997	-0.680
118.000000	-0.674
120.599998	-0.656
122.000000	-0.645
124.099998	-0.629
125.000000	-0.622
126.500000	-0.611
128.000000	-0.599
131.500000	-0.571
132.000000	-0.567
134.000000	-0.550
136.000000	-0.532
138.000000	-0.515
140.000000	-0.497
143.000000	-0.469
145.000000	-0.451
147.500000	-0.428
150.000000	-0.405
152.500000	-0.382
155.000000	-0.359
157.500000	-0.337
160.000000	-0.315
162.500000	-0.294
165.000000	-0.275
167.500000	-0.256
170.000000	-0.239
172.500000	-0.222
175.000000	-0.207
177.500000	-0.193
180.000000	-0.180
182.500000	-0.169
185.000000	-0.158
187.500000	-0.149
190.000000	-0.140
192.500000	-0.133
195.000000	-0.126
197.500000	-0.120
200.000000	-0.115
203.000000	-0.109
206.000000	-0.104
209.000000	-0.099
212.000000	-0.094
214.000000	-0.092
218.000000	-0.087
220.000000	-0.084
224.000000	-0.078
227.000000	-0.073
230.000000	-0.069
233.000000	-0.064
236.000000	-0.058
240.000000	-0.051
243.000000	-0.045
247.000000	-0.036
250.000000	-0.030
254.000000	-0.021
258.000000	-0.013
262.000000	-0.005
265.000000	0.002
269.000000	0.010
272.000000	0.017
276.000000	0.026
280.000000	0.034
285.000000	0.046
290.000000	0.057
295.000000	0.068
300.000000	0.079
304.000000	0.089
307.000000	0.096
311.000000	0.106
315.000000	0.116
320.000000	0.129
325.000000	0.143
330.000000	0.158
335.000000	0.173
340.000000	0.189
345.000000	0.206
350.000000	0.223
355.000000	0.241
360.000000	0.260
365.000000	0.280
