* Freq(Hz)	SPL(dB)
20.000000	1.624
20.299999	1.613
20.600000	1.600
20.900000	1.590
21.200001	1.579
21.400000	1.572
21.799999	1.554
22.000000	1.545
22.400000	1.520
22.700001	1.499
23.000000	1.480
23.299999	1.467
23.600000	1.455
24.000000	1.438
24.299999	1.424
24.700001	1.403
25.000000	1.384
25.400000	1.357
25.799999	1.336
26.200001	1.321
26.500000	1.310
26.900000	1.295
27.200001	1.282
27.600000	1.264
28.000000	1.242
28.500000	1.213
29.000000	1.194
29.500000	1.179
30.000000	1.162
30.400000	1.148
30.700001	1.137
31.100000	1.119
31.500000	1.099
32.000000	1.079
32.500000	1.064
33.000000	1.051
33.500000	1.038
34.000000	1.022
34.500000	1.005
35.000000	0.988
35.500000	0.970
36.000000	0.955
36.500000	0.943
37.000000	0.932
37.500000	0.920
38.200001	0.897
38.700001	0.881
39.500000	0.861
40.000000	0.853
40.599998	0.843
41.200001	0.831
41.799999	0.815
42.500000	0.794
43.099998	0.780
43.700001	0.770
44.400002	0.762
45.000000	0.754
45.500000	0.746
46.200001	0.731
46.799999	0.715
47.500000	0.702
48.200001	0.694
48.700001	0.689
49.400002	0.681
50.000000	0.671
50.799999	0.655
51.500000	0.643
52.200001	0.635
53.000000	0.629
53.799999	0.621
54.500000	0.612
55.200001	0.600
56.000000	0.588
57.000000	0.579
58.000000	0.573
59.000000	0.564
60.000000	0.548
60.799999	0.537
61.500000	0.533
62.200001	0.531
63.000000	0.526
64.000000	0.515
65.000000	0.505
66.000000	0.499
67.000000	0.494
68.000000	0.488
69.000000	0.479
70.000000	0.471
71.000000	0.466
72.000000	0.463
73.000000	0.458
74.000000	0.448
75.000000	0.440
76.199997	0.436
77.500000	0.431
78.800003	0.424
80.000000	0.420
81.199997	0.417
82.500000	0.410
83.800003	0.404
85.000000	0.400
86.199997	0.396
87.500000	0.387
88.500000	0.383
90.000000	0.379
91.199997	0.376
92.500000	0.373
93.800003	0.370
95.000000	0.365
96.199997	0.361
97.500000	0.358
98.800003	0.353
100.000000	0.350
101.500000	0.346
103.000000	0.340
104.400002	0.336
106.000000	0.329
107.500000	0.324
109.000000	0.319
110.599998	0.316
112.000000	0.312
113.800003	0.307
115.000000	0.304
117.199997	0.296
118.000000	0.294
120.599998	0.287
122.000000	0.283
124.099998	0.278
125.000000	0.277
126.500000	0.274
128.000000	0.270
131.500000	0.260
132.000000	0.259
134.000000	0.257
136.000000	0.255
138.000000	0.253
140.000000	0.251
143.000000	0.246
145.000000	0.244
147.500000	0.243
150.000000	0.241
152.500000	0.241
155.000000	0.239
157.500000	0.236
160.000000	0.234
162.500000	0.231
165.000000	0.228
167.500000	0.226
170.000000	0.220
172.500000	0.212
175.000000	0.203
177.500000	0.196
180.000000	0.188
182.500000	0.180
185.000000	0.169
187.500000	0.158
190.000000	0.146
192.500000	0.133
195.000000	0.119
197.500000	0.104
200.000000	0.091
203.000000	0.073
206.000000	0.052
209.000000	0.032
212.000000	0.013
214.000000	-0.000
218.000000	-0.027
220.000000	-0.040
224.000000	-0.066
227.000000	-0.086
230.000000	-0.106
233.000000	-0.125
236.000000	-0.142
240.000000	-0.167
243.000000	-0.186
247.000000	-0.212
250.000000	-0.231
254.000000	-0.255
258.000000	-0.277
262.000000	-0.300
265.000000	-0.316
269.000000	-0.338
272.000000	-0.353
276.000000	-0.374
280.000000	-0.394
285.000000	-0.418
290.000000	-0.442
295.000000	-0.465
300.000000	-0.487
304.000000	-0.503
307.000000	-0.515
311.000000	-0.530
315.000000	-0.544
320.000000	-0.561
325.000000	-0.578
330.000000	-0.594
335.000000	-0.608
340.000000	-0.621
345.000000	-0.632
350.000000	-0.643
355.000000	-0.652
360.000000	-0.660
365.000000	-0.667
370.000000	-0.673
375.000000	-0.679
382.000000	-0.684
387.000000	-0.686
395.000000	-0.687
400.000000	-0.686
406.000000	-0.686
412.000000	-0.684
418.000000	-0.680
425.000000	-0.675
431.000000	-0.670
437.000000	-0.664
444.000000	-0.656
450.000000	-0.649
455.000000	-0.644
462.000000	-0.636
468.000000	-0.628
475.000000	-0.617
482.000000	-0.606
487.000000	-0.597
494.000000	-0.584
500.000000	-0.574
508.000000	-0.564
515.000000	-0.553
522.000000	-0.538
530.000000	-0.524
538.000000	-0.514
545.000000	-0.504
552.000000	-0.493
560.000000	-0.483
570.000000	-0.474
580.000000	-0.470
590.000000	-0.470
600.000000	-0.477
608.000000	-0.492
615.000000	-0.505
622.000000	-0.519
630.000000	-0.537
640.000000	-0.568
650.000000	-0.607
660.000000	-0.644
670.000000	-0.679
680.000000	-0.717
690.000000	-0.757
700.000000	-0.793
710.000000	-0.827
720.000000	-0.857
730.000000	-0.884
740.000000	-0.907
750.000000	-0.926
762.000000	-0.945
775.000000	-0.957
788.000000	-0.962
800.000000	-0.961
812.000000	-0.955
825.000000	-0.944
838.000000	-0.928
850.000000	-0.909
862.000000	-0.884
875.000000	-0.853
885.000000	-0.826
900.000000	-0.779
912.000000	-0.741
925.000000	-0.701
938.000000	-0.654
950.000000	-0.605
962.000000	-0.555
975.000000	-0.499
988.000000	-0.437
1000.000000	-0.367
1015.000000	-0.261
1030.000000	-0.148
1044.000000	-0.043
1060.000000	0.078
1075.000000	0.191
1090.000000	0.310
1106.000000	0.440
1120.000000	0.553
1138.000000	0.694
1150.000000	0.784
1172.000000	0.939
1180.000000	0.993
1206.000000	1.159
1220.000000	1.243
1241.000000	1.362
1250.000000	1.411
1265.000000	1.490
1280.000000	1.566
1315.000000	1.730
1320.000000	1.752
1340.000000	1.840
1360.000000	1.925
1380.000000	2.009
1400.000000	2.094
1430.000000	2.220
1450.000000	2.296
1475.000000	2.389
1500.000000	2.485
1525.000000	2.585
1550.000000	2.685
1575.000000	2.786
1600.000000	2.890
1625.000000	2.998
1650.000000	3.110
1675.000000	3.225
1700.000000	3.344
1725.000000	3.464
1750.000000	3.582
1775.000000	3.695
1800.000000	3.815
1825.000000	3.949
1850.000000	4.089
1875.000000	4.227
1900.000000	4.363
1925.000000	4.499
1950.000000	4.634
1975.000000	4.769
2000.000000	4.902
2030.000000	5.058
2060.000000	5.209
2090.000000	5.358
2120.000000	5.509
2140.000000	5.611
2180.000000	5.807
2200.000000	5.896
2240.000000	6.063
2270.000000	6.193
2300.000000	6.324
2330.000000	6.453
2360.000000	6.577
2400.000000	6.730
2430.000000	6.836
2470.000000	6.970
2500.000000	7.067
2540.000000	7.191
2580.000000	7.312
2620.000000	7.425
2650.000000	7.500
2690.000000	7.591
2720.000000	7.653
2760.000000	7.729
2800.000000	7.798
2850.000000	7.874
2900.000000	7.939
2950.000000	7.993
3000.000000	8.034
3040.000000	8.059
3070.000000	8.074
3110.000000	8.089
3150.000000	8.099
3200.000000	8.103
3250.000000	8.097
3300.000000	8.088
3350.000000	8.078
3400.000000	8.065
3450.000000	8.039
3500.000000	8.011
3550.000000	7.982
3600.000000	7.943
3650.000000	7.891
3700.000000	7.831
3750.000000	7.766
3820.000000	7.667
3870.000000	7.591
3950.000000	7.457
4000.000000	7.368
4060.000000	7.256
4120.000000	7.140
4180.000000	7.020
4250.000000	6.877
4310.000000	6.753
4370.000000	6.627
4440.000000	6.480
4500.000000	6.356
4550.000000	6.254
4620.000000	6.115
4680.000000	6.000
4750.000000	5.868
4820.000000	5.741
4870.000000	5.655
4940.000000	5.538
5000.000000	5.441
5080.000000	5.316
5150.000000	5.207
5220.000000	5.093
5300.000000	4.965
5380.000000	4.859
5450.000000	4.778
5520.000000	4.691
5600.000000	4.582
5700.000000	4.450
5800.000000	4.325
5900.000000	4.187
6000.000000	4.042
6080.000000	3.926
6150.000000	3.823
6220.000000	3.721
6300.000000	3.606
6400.000000	3.461
6500.000000	3.317
6600.000000	3.173
6700.000000	3.027
6800.000000	2.880
6900.000000	2.734
7000.000000	2.590
7100.000000	2.446
7200.000000	2.303
7300.000000	2.163
7400.000000	2.030
7500.000000	1.904
7620.000000	1.765
7750.000000	1.635
7880.000000	1.529
8000.000000	1.453
8120.000000	1.398
8250.000000	1.362
8380.000000	1.352
8500.000000	1.363
8620.000000	1.391
8750.000000	1.441
8850.000000	1.491
9000.000000	1.581
9120.000000	1.664
9250.000000	1.763
9380.000000	1.872
9500.000000	1.982
9620.000000	2.098
9750.000000	2.231
9880.000000	2.373
10000.000000	2.514
10150.000000	2.704
10300.000000	2.901
10440.000000	3.082
10600.000000	3.293
10750.000000	3.501
10900.000000	3.706
11060.000000	3.906
11200.000000	4.043
